estimated_date,author,topic,medium,source,quote
2015-10-20,"""Churlish (@Cryptoterra)""","""Comedy""","""Twitter""",,"""i saw this tire shop offers to rotate your tires and I'm thinking, pal that's called driving. it's how I got here"""
2016-01-07,"""Brian Burke (@bburkeESPN)""","""Sports(Football)""","""Twitter""",,"""Better way to put it: We already do measure heart b/c heart goes into performance. It's just we can't separate 'heart' from the other stuff."""
2016-01-08,"""Dean Oliver (@DeanO_Lytics)""","""Sports(Basketball)""","""Twitter""",,"""If you want to do sports analytics, know 1. The sport (very well), 2. At least one of data/databases, stats, programming, 3. communication."""
2016-01-20,"""Benjamin Morris""","""Sports(Football)""","""Internet""","""https://fivethirtyeight.com/features/nfl-coaches-are-getting-away-with-crimes-against-middle-school-math/""","""Side note: In my opinion, the term ""analytics"" is one of the worst things to happen to serious sports analysis, as it created an artificial barrier between traditionally informed methods and data-informed methods. Either way, the goal is to understand the dynamics of a sport to figure out where winning comes from. Some analysts study film, some build statistical models ? each method has strengths and weaknesses."""
2016-01-22,"""Dean Oliver (@DeanO_Lytics)""","""Sports(Basketball)""","""Twitter""",,"""Saying a team is better with Player X on the floor - that is just data, a fact, no reason why. Analytics is studying numbers to know why."""
2016-02-09,"""jonny sun (@jonnysun)""","""Comedy""","""Twitter""",,"""a pizza is basicaly a real-time pie chart of how much pizza i am going to eat"""
2016-02-10,"""Stephen Burtch (@SteveBurtch)""","""Sports(Hockey)""","""Twitter""",,"""For all the interest in analytics - people really still refuse to accept the actual impact of luck on W/L records."""
2016-02-10,"""Jen Statsky (@jenstatsky)""","""Comedy""","""Twitter""",,"""My boyfriend and I just got to 24th base! (I picked up his underwear and smelled it to see if it should go in the hamper.)"""
2016-02-12,"""Jeff Sullivan (@based_ball)""","""Sports(Baseball)""","""Twitter""",,"""I imagine at this point most MLB trades are swung by computers and GMs are just there to make sure the power strips are switched on."""
2016-02-26,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""When I was a pro gambler, some of the most informed and valuable people to listen to were irascible trolls. People wanted them banned. I explained: The price of getting their knowledge is to indulge them in being yelled at and berated. Otherwise they'd never post info."""
2016-03-02,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""Try telling a bunch of lifelong academics that you want to publish data in a highly crony-based field when you're a college dropout (me). You find out quickly that all the ""open-mindedness"" of academia is about as fair as your average dumb baseball coach."""
2016-03-10,"""Mitchel Lichtman (@mitchellichtman)""","""Sports(Baseball)""","""Twitter""",,"""My new explanation for atheism: ""There are 4,200 religions in the world. You disavow 4,199 of them. I only disavow one more than you."""""
2016-03-11,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""If your internships are unpaid you're only going to get kids who don't need internships."""
2016-03-23,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""America loves a free market, except for college athletes, interns and other powerless and easily exploited groups of people."""
2013-02-20,"""joshh0))) (@JNalv)""","""Comedy""","""Twitter""",,"""I'm sorry Ms. Jackson (Oooooo)/ I am four eels/ Never meant to make your daughter cry/ I am several fish and not a guy"""
2016-03-24,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""I once pitched to a kid wearing yellow Home Depot gardening gloves. You know how terrifying that is? There is no chance that kid sucks."""
2016-04-06,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""It's frustrating to see an NBA team hire a GM with a known philosophy and then fire him for executing that philosophy."""
2016-04-20,"""Michael Lopez (@StatsbyLopez)""","""Sports(Football)""","""Twitter""",,"""Reminder that every credible ounce of research has shown that NFL teams can't consistently evaluate talent in draft."""
2016-04-28,"""Lincoln Hamilton (@LHamiltonPP)""","""Sports(Baseball)""","""Twitter""",,"""Cute punk girl at the bar only has one leg. Guy hitting on her is showing off a new tattoo on his calf. Seems like the wrong move."""
2016-05-31,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""It's still rare to see indirect player value among public metrics - bullpen strain, defensive flexibility etc. But it's worth millions."""
2013-09-13,"""Cohen is a Ghost (@skullmandible)""","""Comedy""","""Twitter""",,"""try to remember the lesson of kafka: if you die without burning your sexual fetish fiction about turning into a bug, someone will publish it"""
0018-04-22,"""Daniel P. Egan""","""Decision Making and Psychology""","""Internet""","""https://www.dpegan.com/the-skill-of-managing-luck/""","""We benchmark algorithms to perfect, and humans to mediocre. If we see an 85% hit rate for an algorithm, we worry about the 15%. When we see a 60% hit rate for a human, we say ""that's better than chance!"""""
0018-09-09,"""Linear Digressions""","""Data Science""","""Podcast""","""The Three Types of Data Scientists, and What They Actually Do""","""*1. Analytics data scientist (operational data scientist)  *2. Algorithms data scientist  *3. Inference data scientist  *Most are a mix of at least 2 (I am mostly #3 but have done all 3)"""
0018-06-18,"""Freakanomics Radio""","""Decision Making and Psychology""","""Podcast""","""Why We Choke Under Pressure (and How Not To)""","""Familiar faces make you more nervous (theory is you think of yourself how they view you, so you'd see yourself as a child in the eyes of your parents for example)"""
2016-06-11,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""If you think tall is automatically >> short, you haven't trained enough tall, long-levered athletes. Coordination is a huge challenge."""
2016-06-12,"""Down Goes Brown (@DownGoesBrown)""","""Sports(Hockey)""","""Twitter""",,"""Phil Kessel, who is neither dedicated nor a winner, is just the fourth player to win the Masterton and a Stanley Cup ring by the age of 28."""
2014-07-13,"""Mitchel Lichtman (@mitchellichtman)""","""Sports(Baseball)""","""Twitter""",,"""The sabermetrician's credo: ""I'm not sure, this is why I'm not sure, and this is roughly how not sure I am."""""
2016-06-21,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""Companies like Google and Apple pay interns extremely well because they want the best, not just those who can afford to be paid poorly. Call it inertia, tradition or a form of hazing. It's irrational and removes a potential competitive edge, but it's reality. The sports industry is still incredibly foolish in this and other areas, in contrast to what they're willing to spend on players."""
2016-06-21,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""Re-evaluate if you even want to work for a team. You get zero credit, can't talk about baseball anymore, and generally get paid trash."""
2016-06-23,"""Dean Oliver (@DeanO_Lytics)""","""Sports(Basketball)""","""Twitter""",,"""As I was told many times, GMs love to ""play Draft."" Trades don't justify that college scouting budget as much as a pick. Undervalued tactic."""
2016-06-23,"""Mark Deeks (@MarkDeeksNBA)""","""Decision Making and Psychology""","""Twitter""",,"""My nan once said ""we should vote how the younger generation want us to vote"". That's nobility. That would have been nice."""
2016-06-23,"""John Scalzi (@scalzi)""","""Decision Making and Psychology""","""Twitter""",,"""Never underestimate angry old white people. They show up at the polls."""
2016-06-24,"""Dave Studeman (@dastudes)""","""Sports(Baseball)""","""Twitter""",,"""DIPS theory is that it's tough to predict a pitcher's future batted ball outcomes based on his past. NOT that he has no impact at all."""
2016-06-25,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""Basic questions of data science.     1. What models should I fit and why?   2. How do I fit this model to my data?   3. How good is the fit?  4. How certain is the fit?   5. How do the fits of different models compare?  6. How good are the predictions for this model on new data expected to be?   7. Which model(s) should we use?   8. Should we combine models?"""
2016-07-01,"""Sapp Macintosh (@MacSapintosh)""","""Sports(Hockey)""","""Twitter""",,"""We're two years past the ""summer of analytics"" and most teams making the same dumb completely avoidable mistakes."""
2016-07-02,"""Eno Sarris (@enosarris)""","""Sports(Baseball)""","""Twitter""",,"""Sports ranked by impact of manager on results:   1) football   2) soccer   3) basketball   4) hockey   5) baseball   (Unsure of ranking, esp hockey)"""
2016-06-14,"""Mitchel Lichtman (@mitchellichtman)""","""Sports(Baseball)""","""Twitter""",,"""I submit that if players never changed their true talents, we would see virtually the exactly same ebbs and tides in their performance as we see now. IOW, the ratio of variance from changes in talent to random variance over the course of a career is so small as to be unnoticable by the human eye. Which renders 95% of what you read every day on Fangraphs, THT, BP, etc., mostly nonsense."""
2016-07-03,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""Say you now have two Poisson distributions with means u1 and u2. The difference of the two is called a Skellam distribution."""
2016-06-03,"""cabron james (@alexualhealing)""","""Comedy""","""Twitter""",,"""Do people who love babies know about pets?"""
2016-09-06,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""Asking someone a question for something you have not yet Googled means you are using someone else as a Google machine. Stop being an idiot."""
2014-09-08,"""Dave Thomason (@dave_thomason)""","""Comedy""","""Twitter""",,"""In retrospect, ""the haters"" were actually a group of friends, family, and medical professionals looking out for my own good"""
2016-08-10,"""dan mentos (@DanMentos)""","""Comedy""","""Twitter""",,"""[introducing girlfriend to my family]   me: this is my girlfriend janine   janine: hi   wife: what the fuck"""
2016-07-07,"""Grant Brisbee (@GrantBrisbee)""","""Sports(Baseball)""","""Twitter""",,"""Double Durant, double Curry, put a big body on Draymond, and put your best lockdown defender on Klay, it's not rocket science."""
2016-10-04,"""Rufus Peabody (@RufusPeabody)""","""Sports(Football)""","""Twitter""",,"""It's crazy that the NBA has 4 best-of-7s in less noisy sport, while MLB has one-game-winner-take-all wild card in much MUCH more noisy sport"""
2016-10-05,"""Jeff Sullivan (@based_ball)""","""Sports(Baseball)""","""Twitter""",,"""I remember when I was a kid the thing that really drew me to baseball was analyzing which sliding players never momentarily lost bag contact"""
2016-10-07,"""Rob Gronkowski (@RobGronkowski)""","""Sports(Football)""","""Twitter""",,"""Wowsers, scary movies are scary"""
2016-10-10,"""Mike Axisa (@mikeaxisa)""","""Sports(Baseball)""","""Twitter""",,"""If MLB wants to appeal to younger viewers, moving away from announcers who insist the game was better in their day would be a good start."""
2016-10-10,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""You can make the argument that ""socializing"" shouldn't be relevant, but it is. Ultimately people are affected. You need to relate to them. So many bright people I've seen can't figure it out. The ability to shoot the shit, converse, and navigate the metagame is important."""
2016-10-11,"""Rufus Peabody (@RufusPeabody)""","""Sports(Football)""","""Twitter""",,"""While third down success has a yuuuuge impact on game outcome (like turnovers), it is not any more predictive of future than early downs."""
2010-05-18,"""Jonah Keri (@jonahkeri)""","""Sports(Baseball)""","""Twitter""",,"""fave story of night: doug melvin once texted theo on trade deadline - hardy for buchholz/bard...theo's reply: ""lol"""""
2016-10-16,"""Mike F (@mikefossey)""","""Comedy""","""Twitter""",,"""For sale. Baby shoes. Never worn. They were too small for me. I'm an adult man. I wear a size 10 and these are in baby size. I fucked up. $9"""
2016-10-17,"""Greg Wyshynski (@wyshynski)""","""Sports(Hockey)""","""Twitter""",,"""Pete DeBoer on what he learned about SCF hangovers with Devils: ""Yeah, don't lose Parise and Kovalchuk the next season."" #Sharks"""
2016-10-24,"""vineyille (@vineyille)""","""Comedy""","""Twitter""",,"""Babies are so dumb they try to use magazines like ipads. Yeah all 72 pages of that issue of Time are touch screens. It cost $36,000. Idiot."""
2016-06-25,"""Ann Killion (@annkillion)""","""Sports(Basketball)""","""Twitter""",,"""Popovich on if he still gives Kerr advice: ""I hate Steve Kerr. If he asks me anything I tell him to go urinate in a bucket."""""
2016-10-25,"""dan haren (@ithrow88)""","""Sports(Baseball)""","""Twitter""",,"""Two years ago I beat Corey Kluber 1-0....Today, I walked my 2 pugs while wearing a ""pug life"" t-shirt. Life comes at you fast."""
2016-10-30,"""Jordan Bastian (@MLBastian)""","""Sports(Baseball)""","""Twitter""",,"""Francona had trouble sleeping last night, so at 3:30 am he called room service and ordered $44 worth of ice cream."""
2016-10-26,"""Joel Embiid""","""Sports(Basketball)""","""Internet""","""https://www.si.com/nba/2016/10/26/joel-embiid-philadelphia-76ers-the-process  ""","""You know how I learned to shoot? I watched white people. Just regular white people. They really put their elbow in and finish up top. You can find videos of them online."""
2016-11-01,"""Mark Deeks (@MarkDeeksNBA)""","""Sports(Basketball)""","""Twitter""",,"""There are plenty of good things about college ball but paying coaches millions to coach players to earn nil terminally undermines all of it. College sports ""amateurism"" is a historical relic people cling to because people cling to stuff. They don't have to pay players much, necessarily. Just let them earn. I work in a college. The whole point of my job is to help them get theirs. Not to hold them back with guilty reminders it's a free education. We tell the fashion studentd to go for the Harrods gig, because we prioritise their destination over the sanctity of some bullshit purity."""
2016-11-02,"""Andrew C. Thomas (@acthomasca)""","""Data Science""","""Twitter""",,"""Most analyses are going to depend on how the state by state outcomes are interpreted. 3 main ways I know:    1) Calibration of the two-party vote share against the probability distribution.they forecast. e.g. a 47% vs mean 45, SD 2 = 0.84. Those will be uniformly distributed in a fully calibrated estimate. This is the method that @FiveThirtyEight is historically best at.    2) Check the mean-squared error loss of estimates, weighed with respect to the relative uncertainty in each state.    3) Probability scoring like the Brier model, which uses quadratic loss -- the more certain, the higher reward if right/penalty if wrong. Other loss functions will work too, depending on the case."""
2016-12-01,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""My opinion is that it's generally best to develop analytics within vs contracting outside technology, but that depends on sophistication. Ideally, people that work for a sports club bleed for that sports club. It's nearly a 24/7/365 job. You won't get that from outside firms."""
2016-12-07,"""Jason Ochart (@JasonOchart)""","""Sports(Baseball)""","""Twitter""",,"""If you need to tell people you are an expert, you probably aren't"""
2016-12-11,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""One of our clients loves the towel drill. One pitching coach I know loves it. They're both great people. I don't tell them to stop. Why? If someone does 92% of the stuff you agree with, you don't read them the riot act for the 8% you don't see eye-to-eye on."""
2016-12-11,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""There is a reason I don't use the word ""science"" very often. It's because it's now a fraudulent term used by sales hucksters. Science doesn't conclude shit. It suggests, indicates, and recommends. It requires a skeptical mind, constantly searching. It's not concrete. """
2016-12-14,"""Sky Kalkman (@Sky_Kalkman)""","""Lifestyle and Self-Improvement""","""Twitter""",,"""Hot take: religion is humanity's oldest form of fake news."""
2016-12-15,"""Andrew C. Thomas (@acthomasca)""","""Data Science""","""Twitter""",,"""Just a reminder that if you ask a successful person how to be successful, 90% of the time the advice will be ""do what I did""."""
2016-12-18,"""Brendan O'Hare (@brendohare)""","""Comedy""","""Twitter""",,"""Surprised my girlfriend with a 32 ounce porterhouse steak at 6:30 AM"""
2016-12-23,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""It's important to know how to manipulate data frames in R and Python, but databases and SQL are far better for complex manipulations."""
2017-01-07,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""lost big at the horse races tonight, they're all so much faster than me"""
2017-01-08,"""Benjamin Morris (@skepticalsports)""","""Sports(Football)""","""Twitter""",,"""Computers are unbeatable at our hardest strategic games. Math-savvy people are dominating most sports. NFL coaches still going for 1 down 2."""
2017-01-10,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""Ironically, vaccines have been so effective people no longer see the consequences of not being vaccinated."""
2017-01-11,"""Morgan Housel (@morganhousel)""","""Lifestyle and Self-Improvement""","""Twitter""",,"""""Never make fun of people for mispronouncing a word. It means they learned it by reading."""""
2017-01-11,"""Tangotiger (@tangotiger)""","""Sports(Baseball)""","""Twitter""",,"""WAR need not be perfect to have value. Just be better than alternative. That's very definition of value-added. That's how life works."""
2017-01-13,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""The downside (?) is the more advanced your skills, the more likely you'll get a sports analytics job, but the less sense it makes $-wise."""
2016-01-13,"""Brooks Otterlake (@i_zzzzzzz)""","""Comedy""","""Twitter""",,"""Good slumber party questions:   - What's the furthest underground you've ever eaten a burger   - How many necks have you touched   - What's pesto"""
2017-01-13,"""Boner Vivant (@Doug_Tilley)""","""Comedy""","""Twitter""",,"""Replace Obamacare with a giant GoFundMe that everyone pays into and is then distributed to people who get sick and.. wait a minute.."""
2016-11-28,"""Robin Hanson (@robinhanson)""","""Data Science""","""Twitter""",,"""Good CS expert says: Most firms that thinks they want advanced AI/ML really just need linear regression on cleaned-up data."""
2017-01-17,"""Brendan O'Hare (@brendohare)""","""Comedy""","""Twitter""",,"""@BikersForTrump Why don't you guys just drive cars? Cars are faster and more powerful than motorcycles"""
2017-01-24,"""Platinum Seat Ghosts (@3rdPeriodSuits)""","""Lifestyle and Self-Improvement""","""Twitter""",,"""70-year olds shouldn't make decisions about the environment."""
2017-02-02,"""Ross Taylor (@rosstaylor90)""","""Data Science""","""Twitter""",,"""It's interesting that many summarize Bayes as being about priors; but real power is its focus on integrals/expectations over maxima/modes"""
2017-02-06,"""Daniel Myers (@DSMok1)""","""Sports(Basketball)""","""Twitter""",,"""Box Plus/Minus update: discovered that regression gets better fit if you use % of team's blocks rather than actual block%. So a 5% block rate on a team with a 10% block rate would be the same as 2.5% block rate on a team with a 5% total block rate. This indicates that blocks as a whole are more of a team style thing than actually providing absolute value on defense. Makes sense. On the other hand, I checked steals. Steals still fit better as actual STL%. This indicates steals provide actual marginal value on D."""
2017-02-24,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""Decades of the primary education system telling kids that their opinion is worthwhile + social media = fucking disaster"""
2017-02-24,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""Good advice I got from an editor - when writing something, ask yourself: ""What right do you have imposing words on people?"" Every word you write is you assuming it's something a reader should read. at its root, it's very arrogant. Consider that!"""
2017-02-28,"""Dean Demakis (@deanondraft)""","""Sports(Basketball)""","""Twitter""",,"""If your eye test disagrees w stats and you arent gambling savant you are likely watching badly"""
2017-03-03,"""Nathaniel Friedman (@freedarko)""","""Sports(Basketball)""","""Twitter""",,"""My favorite Kawhi Leonard story is that Pop had to convince him to score a lot by reassuring him it was for the team, not ego: ""he needed to realize we were calling his number for the Spurs to score, not for Kawhi to score"""""
2017-03-04,"""Justin (@AcrossTheCourt)""","""Sports(Basketball)""","""Twitter""",,"""I have to admit that since I'm self-taught in coding, my codes are often quite inefficient ... but they're ingeniously inefficient at least."""
2017-03-07,"""Ted Knutson (@mixedknuts)""","""Sports(Other)""","""Twitter""",,"""Was talking to Rory Campbell about the sleep studies this weekend and one thing we agreed on: Boy oh boy is training in the morning dumb."""
2017-03-09,"""Oliver Griswold (@originalgriz)""","""Lifestyle and Self-Improvement""","""Twitter""",,"""Trump taking credit for Obama's economy is like someone inheriting millions from his dad and bragging about what a smart businessman he is."""
2017-03-14,"""daisyowl (@daisyowl)""","""Comedy""","""Twitter""",,"""if you ever code something that ""feels like a hack but it works,"" just remember that a CPU is literally a rock that we tricked into thinking"""
2017-03-30,"""Lincoln Hamilton (@LHamiltonPP)""","""Sports(Baseball)""","""Twitter""",,"""So much of the playing the game The Right Way mindset comes from a time when the biggest rival entertainment was pushing a hoop with a stick"""
2015-02-25,"""Namita (@nnstats)""","""Data Science""","""Twitter""",,"""reason #385729 why math is a sin: every time you shuffle a deck of cards, the order of it has never been seen in the history of the universe"""
2014-04-16,"""Jon Bois (@jon_bois)""","""Sports(Other)""","""Twitter""",,"""why watch overtime playoff hockey when you can simply snort cocaine and ride a motorcycle out of a helicopter"""
2017-04-15,"""Bill James Online (@billjamesonline)""","""Sports(Baseball)""","""Twitter""",,"""Analysis is not simply calculating everything you can calculate. Analysis is figuring out what is meaningful and what is not."""
2017-04-18,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""If you get stung by a jellyfish you can of course pee in it, but if you get stung really bad you'll want to go ahead and poop on it."""
2017-04-23,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""Be the best YOU. Learn what statistically gets hitters out - what is the truth? And of that, what can be trained easiest to hardest?"""
2017-04-26,"""Alan (@loserpoints)""","""Sports(Hockey)""","""Twitter""",,"""That's a PK Subban hat trick. Goal, assist, and having his abilities insulted by an old hockey guy during intermission."""
2017-04-29,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""My 5 year old son's baseball coach teaches him the long arm point the ball to 2b mechanics, squish the bug swing, but you know what?    Who gives a shit.     He's a coach who is infinitely patient with a bunch of 5-6 year olds and is a good person. That's good enough.    It's hard enough in baseball to find a coach who cares and is in it to help kids rather than themselves. Don't miss the forest for the trees."""
2017-05-01,"""Kyle Boddy (@drivelinebases)""","""Sports(Baseball)""","""Twitter""",,"""Good test for anyone. If they're reticent to say they don't know something, chances are good they don't know anything."""
2017-05-09,"""Japers' Rink (@JapersRink)""","""Sports(Hockey)""","""Twitter""",,"""One thing I talked a bit about on that @hockeypdocast is how the same kind of thing can keep happening to the Caps. How can they predictably drop off in Sh% while dominating shot diff, for example? What's the difference between regular season and playoffs? Is it as simple as ""no pretty goals in the playoffs - you've gotta work harder""? Probably not. And obviously, the competition is better in playoffs. But one difference no one really talks about between regular season and playoffs is coaching and, specifically, opponent-specific preparation. During the regular season, there's very limited practice time and almost no opponent-specific prep. This isn't the NFL, where you get a week. So you can win a lot of games in the regular season on a skill advantage and a novel wrinkle on your PP or what have you. In the playoffs, however, it's a lot of team-specific prep. So it stands to reason that better coaches (and staffs) fare better. And that's part of why you saw the Leafs (Babcock) give the Caps some trouble early. Ditto PIT, to an extent. But Caps adjusted in both. Anyway, people talk about the *what* of the difference between regular season and playoffs (in vague terms), but not so much the *why* of it. And I think a big piece of that *why* that people miss is the difference in opponent specific prep. Might be biggest area of coaching impact."""
2017-05-14,"""Bonk's Mullet (@BonksMullet)""","""Sports(Hockey)""","""Twitter""",,"""I swear NHL broadcasts talk more about faceoffs than goals."""
2017-05-19,"""Derek Bodner (@DerekBodnerNBA)""","""Sports(Basketball)""","""Twitter""",,"""Here's the secret of the nba draft, which is what makes it so much darned fun: we all kind of suck at it."""
2017-05-21,"""Jared Weiss (@JaredWeissNBA)""","""Sports(Basketball)""","""Twitter""",,"""Brad Stevens: We don't measure our performance on if shots go in. We measure it on -- I don't mean to be too analytical -- expected shot value."""
2017-05-22,"""miller low life (@itwasthreezero)""","""Sports(Hockey)""","""Twitter""",,"""The thing about the Subban trade is this year is the best it will ever look for Montreal"""
2017-05-31,"""Brendan O'Hare (@brendohare)""","""Comedy""","""Twitter""",,"""Got my girlfriend 20 acres of land for her birthday"""
2017-06-01,"""Hayes Davenport (@hayesdavenport)""","""Lifestyle and Self-Improvement""","""Twitter""",,"""I wonder why the fat 71-year-old who had to take a deep breath every three words of his speech isn't worried about sea levels in 2030"""
2017-06-07,"""Bob Vulfov (@bobvulfov)""","""Sports(Basketball)""","""Twitter""",,"""[lebron does 100% of a group project]   LEBRON: can u guys just turn it in   CAVS: ya for sure   [they accidentally light it on fire]   CAVS: whoops"""
2017-06-12,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""The MLB draft is like drafting poker hands with some cards hidden. You see fewer cards with high school players, but could be better hands."""
2017-06-17,"""Dean Demakis (@deanondraft)""","""Sports(Basketball)""","""Twitter""",,"""LeBron had an all time great finals performance w/ 28/15/8 as his *worst* game. Who cares if he can't solo beat team USA-- he is the GOAT"""
2010-07-30,"""Kevin Durant (@KDTrey5)""","""Sports(Basketball)""","""Twitter""",,"""I'm watching the History channel in the club and I'm wondering how do these people kno what's goin on on the sun..ain't nobody ever been"""
2013-10-18,"""Peter Serafinowicz (@serafinowicz)""","""Comedy""","""Twitter""",,"""Daniel Day-Lewis sent over 20 million emails to prepare for his role as LinkedIn"""
2017-07-02,"""Stuart McMillan (@StuartMcMillan1)""","""Decision Making and Psychology""","""Twitter""",,"""""Amateurs make 3 types of predictions:   1. yes   2. no   3. maybe     Professionals have many gradations of maybe"" - @PTetlock"""
2017-07-06,"""Ben Hamner (@benhamner)""","""Data Science""","""Twitter""",,"""Super confused why we still use resumes. Get 100x the signal from domain profiles (GitHub, StackOverflow, Kaggle, etc.) & real work samples"""
2017-07-11,"""Nate Duncan (@NataDuncanNBA)""","""Sports(Basketball)""","""Twitter""",,"""Players seem to really value guys who can hit contested jumpers."""
2017-07-11,"""Justin (@AcrossTheCourt)""","""Sports(Basketball)""","""Twitter""",,"""Players judge things based on how difficult they are, not how valuable they are."""
2017-07-13,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""If you're looking for a laptop to do data science, you'll generally want to look for a gaming laptop as they'll have more powerful hardware."""
2017-07-19,"""Daryl Morey (@dmorey)""","""Sports(Basketball)""","""Twitter""",,"""Everyone is a PhD at the University of Hindsight"""
2017-07-20,"""Mike Ginn (@shutupmikeginn)""","""Comedy""","""Twitter""",,"""Has anyone tried giving bees heroin? I feel like bees on heroin would produce sweeter honey. It's probably not true, but it's how I feel."""
2017-07-22,"""DOCTOR Greg (@StatsInTheWild)""","""Sports(Other)""","""Twitter""",,"""Today is a great time to be alive for washed up second rate athletes. American Ninja warrior, CrossFit games, tough mudder."""
2017-07-24,"""Micah Blake McCurdy (@IneffectiveMath)""","""Sports(Hockey)""","""Twitter""",,"""The day that NHL teams prefer to play young players who might be bad instead of old players who are definitely bad will be a beautiful day."""
2017-07-26,"""std::data::pup (@6b766e)""","""Data Science""","""Twitter""",,"""Ah so you'd like to learn how to program? It's a fast moving field where you'll have to adapt quickly! So this is bash, a shell from 1989.."""
2017-07-31,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""At the trade deadline you aren't paying for WAR, you're paying for leveraged probability of playoffs & deep playoffs."""
2016-03-28,"""David Robinson (@drob)""","""Data Science""","""Twitter""",,"""Theoretical math: know a lot about specific field     Applied math: know a little about many fields     Data science: know when to use logarithms"""
2017-08-11,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""Someone asked me today about the hardest part of data science. I'd say the time and energy you spend learning new things and getting better."""
2017-08-19,"""Jerry (@mcguig24)""","""Comedy""","""Twitter""",,"""If you're considering kids, I just heard an angry 3 year old tell her mom ""I'm going to poop my pants & you're going to have to clean me."""""
2017-08-20,"""Richard Justice (@richardjustice)""","""Sports(Baseball)""","""Twitter""",,"""Scout says @Astros hitters K too much and it'll catch up to them. Point out they have fewest Ks in @MLB. ""I don't believe that,"" he says."""
2017-08-30,"""Daren Willman (@darenw)""","""Sports(Baseball)""","""Twitter""",,"""Asked this often... Top 5 skills for aspiring sports analysts  SQL  Programming  Stats  Intense domain knowledge  Data Viz    Pick 3-Do them well  """
2017-08-31,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""First think I think about when building models - am I trying to determine features, or do I already know features & looking for structure?"""
2017-09-17,"""Ariana Lenarsky (@aardvarsk)""","""Comedy""","""Twitter""",,"""my dad once said ""do what you hate first thing in the morning to get it out of the way"" then 2 mos later called me on my birthday at 6am"""
2017-10-04,"""Brian Burke (@bburkeESPN)""","""Sports(Football)""","""Twitter""",,"""Excel has come a long way. From primary tool for analysis all the way to over-priced .csv viewer."""
2017-10-12,"""Benjamin Morris (@skepticalsports)""","""Sports(Football)""","""Twitter""",,"""Listening to Romo the commentator has helped me understand Romo the quarterback so much better."""
2017-10-20,"""Christopher D. Long (@octonion)""","""Sports(Other)""","""Twitter""",,"""My coding rule is to always write some non-trivial programs in every hot new language that comes along. If you can code, it's not hard. A small amount of exposure to what new programming languages are like can be very useful in the long run."""
2017-10-21,"""Matt Cane (@Cane_Matt)""","""Sports(Hockey)""","""Twitter""",,"""Great suggestion from @SteveShea33 on the WAR panel: creating replacement level by skillset (eg defensive defencemen, etc.) #RITHAC"""
2017-10-19,"""Namita (@nnstats)""","""Data Science""","""Twitter""",,"""gonna echo @dataandme + say using sports to learn analytical tools is great, and then you can leverage those skills in many other industries"""
2017-10-23,"""Kevin Pauga (@KevinPauga)""","""Data Science""","""Twitter""",,"""Reminder: there is a difference between results-based and predictive-based metrics. Both are useful as long as you understand their meaning."""
