superAdj_rnk,adj_rnk,avg_rnk,ofp_rnk,*data*,first_name,last_name,age,position,bats,throws,p_type,cur_team,*overall*,superAdj_FV,adj_FV,avg_FV,ofp_FV,flag_value,shortlist_value,shortlist_notes,*FV*,FV_pts,fg_FV,mi_grade,mlbp_FV,fgd_FV,mlbd_FV,fg_OFP_present,fg_OFP_future,mlb_OFP,*rnk*,fg100,mlbp_top100,fgd_top100,fgd_rank,mlbd_rank,*bio*,prospect_id,height,weight,*eta*,fg_eta,mi_eta,mlbp_eta,*extras*,mi_blurb,mlbp_blurb,fgd_blurb,mlbd_blurb,fg_video,fgd_video,*nsbl*,NSBL_team,salary,contract,*sign*,fgd_pick_team,fgd_pick_num,fg_signed,fg_signedFrom,mlbp_signed,*edu*,fgd_school,fgd_college_commit,mlbd_school,mlbd_grade,*team*,fg_team,mi_team,mlbp_team,*flags*,sleeper,breakout,upside,personal_traits,*intang*,fg_athleticiscm,fg_frame,fg_performance,*fg hit*,Hit_present,GamePower_present,RawPower_present,Speed_present,Field_present,Throws_present,Hit_future,GamePower_future,RawPower_future,Speed_future,Field_future,Throws_future,*fh pit*,Fastball_present,Changeup_present,Curveball_present,Slider_present,Cutter_present,Splitter_present,Other_present,Command_present,Fastball_future,Changeup_future,Curveball_future,Slider_future,Cutter_future,Splitter_future,Other_future,Command_future,*mlb hit*,hit,power,run,arm,field,*mlb pit*,fastball,change,curve,slider,cutter,splitter,other,control
717,703,486,823,"""|""","""Nander""","""De Sedas""",18.85,"""SS""","""S""","""R""","""draft""","""Montverde (Fla.) Academy""","""|""",41.7,41.7,41.3,46.1,0.00,,,"""|""",165,,,,40,50,,,46.1,"""|""",,,0,111,55,"""|""",2431,"""73""","""190""","""|""",,,,"""|""",,,,"""Scouting grades: Hit: 50 | Power: 50 | Run: 40 | Arm: 60 | Field: 50 | Overall: 50  Back in 2011, a young shortstop came out of Montverde High School in Florida and ended up going No. 8 overall to the Cleveland Indians. While he had a long way to go before earning a true comp to All-Star Francisco Lindor, De Sedas' strong summer had him brought up in the conversation for more reasons than just attending the same high school, though an uneven spring has cooled his projections considerably.    The raw tools are still there for De Sedas to be a successful middle infielder at the next level, but he hasn't put them to consistent use in his senior year. He has plus raw power and has shown the wherewithal to tap into it in games at times in the past. He hasn't shown the same advanced approach he had over the summer, but the skills are there to hit for average and tap into that raw power. Relatively new to switch-hitting, his left-handed swing needs work. De Sedas has a very strong arm and good hands, which gives him the chance to stick at short. His lack of speed could eventually necessitate a move to third.    De Sedas' summer moved him way up on Draft lists and raised the level of expectations considerably, but he didn't come out and perform as hoped this spring. A team that feels it can help him unlock those raw tools consistently will still take him early enough to keep him from heading to Florida State.""",,,"""|""",,,,"""|""",,,,,,"""|""","""Montverde Academy HS FL""","""Florida State""","""Montverde (Fla.) Academy""","""Senior""","""|""",,,,"""|""",0,0,0,0,"""|""","""""","""""","""-""","""|""",,,,,,,,,,,,,"""|""",,,,,,,,,,,,,,,,,"""|""",50,50,40,60,50,"""|""",,,,,,,,
718,704,726,711,"""|""","""Calvin""","""Mitchell""",19.23,"""OF""","""L""","""L""","""professional""","""PIT""","""|""",41.7,41.7,40.0,47.0,0.00,,,"""|""",360,40,"""C+""",45,,,30.0,48.6,46.8,"""|""",0,,,,,"""|""",2002,"""72""","""209""","""|""",2022,"""2022""",2021,"""|""","""Age 18, second round pick in 2017 from high school in California, hit .245/.351/.352 in rookie ball with 24 walks, 35 strikeouts in 159 at-bats; very good strike zone judgment and above-average raw power from the left side, though he hasnt learned to tap it just yet; lack of speed and arm strength limit him to left field and put pressure on the bat but he has a chance to hit enough that it wont matter; ETA 2022.""","""Scouting grades: Hit: 50 | Power: 50 | Run: 45 | Arm: 45 | Field: 50 | Overall: 45  No one roots for a high school player to struggle, especially not in his Draft year. But sometimes such adversity can work to a team's advantage. Case in point is Mitchell, who entered his senior year at powerhouse Rancho Bernardo High School in San Diego as one of the best prep bats in the country. When he scuffled for a chunk of the season, his stock fell and the Pirates were thrilled he slipped far enough for them to grab him in the second round with the 50th overall pick in the 2017 Draft.  Mitchell did look more like the hitting prospect people thought he was during his pro debut in the Gulf Coast League. He has an advanced approach at the plate and drew a ton of walks, controlling the strike zone very well for his age, with the chance to be a Major League average, if not better, hitter from the left side of the plate. There is plenty of power to tap into, though trying to muscle up led to him being too pull happy in high school, one of the main reasons for his struggle. The Pirates tend to preach hit over power in the Minors, so that should be a good fit.  The bat will have to play because he's an average defender with a fringy arm who is likely limited to left field as a pro. The good news is it looks like he's rediscovered his swing and should have the profile for an outfield corner spot in the future.""",,,"""http://www.youtube.com/embed/yal8ZxNmuHI?autoplay=1""",,"""|""","""COL""",0.500,"""XXX""","""|""",,,"""2nd rd 2017""","""Rancho Bernardo HS (CA)""",,"""|""",,,,,"""|""","""PIT""","""pit""","""PIT""","""|""",0,0,0,0,"""|""",,,,"""|""",20,20,50,40,40,40,50,45,55,40,50,40,"""|""",,,,,,,,,,,,,,,,,"""|""",50,50,45,45,50,"""|""",,,,,,,,
720,706,728,712,"""|""","""Conner""","""Uselton""",20.03,"""OF""","""R""","""R""","""professional""","""PIT""","""|""",41.7,41.7,40.0,47.0,0.00,,,"""|""",240,40,,45,,,32.1,47.9,48.2,"""|""",0,,,,,"""|""",2003,"""75""","""185""","""|""",2022,,2021,"""|""",,"""Scouting grades: Hit: 45 | Power: 55 | Run: 55 | Arm: 65 | Field: 55 | Overall: 45  The Pirates went high school heavy at the top of the 2017 Draft, taking a prep player with each of their first four picks. Uselton, a former high school quarterback who focused on baseball after his sophomore year, was the fourth of that quartet to be taken. The Pirates only got to see him play two games in the Gulf Coast League during his pro debut with a hamstring injury ending his summer after just seven at-bats.  Uselton did return to health in time to head to the organization's instructs in the Dominican Republic, where he was able to play for a couple of weeks before embarking on his offseason plan. The outfielder is more power over hit at this point, with some strength and leverage in his right-handed swing. In the past, he's had some mechanical issues with that swing, but he smoothed some of that during his senior year and showed he is capable of driving the ball to all fields.   A solid athlete who runs fairly well, Uselton played center field in high school. He's likely to mostly play in an outfield corner as a pro, where his plus arm, not to mention his power profile, will play very well.""",,,"""http://www.youtube.com/embed/1Okr7H06QIQ?autoplay=1""",,"""|""",,,,"""|""",,,"""2nd rd 2017""","""Southmoore HS (OK)""",,"""|""",,,,,"""|""","""PIT""",,"""PIT""","""|""",0,0,0,0,"""|""",,,,"""|""",20,20,55,50,40,60,40,55,70,40,50,60,"""|""",,,,,,,,,,,,,,,,,"""|""",45,55,55,65,55,"""|""",,,,,,,,
726,712,734,506,"""|""","""Eguy""","""Rosario""",18.77,"""2B""","""R""","""R""","""professional""","""SDP""","""|""",41.7,41.7,40.0,48.6,0.00,,,"""|""",160,40,,,,,33.6,50.0,,"""|""",0,,,,,"""|""",2299,"""69""","""170""","""|""",2022,,,"""|""",,,,,,,"""|""",,,,"""|""",,,"""J2 2015""","""Dominican Republic""",,"""|""",,,,,"""|""","""SDP""",,,"""|""",0,0,0,0,"""|""",,,,"""|""",25,20,45,50,45,50,55,45,50,40,50,50,"""|""",,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,
727,713,735,568,"""|""","""Deivy""","""Mendez""",22.60,"""RHP""","""R""","""R""","""professional""","""TBR""","""|""",41.7,41.7,40.0,48.1,0.00,,,"""|""",160,40,,,,,42.1,48.6,,"""|""",0,,,,,"""|""",2679,"""74""","""190""","""|""",2021,,,"""|""",,,,,"""http://www.youtube.com/embed/trJW6ujWolU?autoplay=1""",,"""|""",,,,"""|""",,,"""J2 2012""","""Dominican Republic""",,"""|""",,,,,"""|""","""TBR""",,,"""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",60,50,55,40,,,,30,60,55,60,45,,,,40,"""|""",,,,,,"""|""",,,,,,,,
728,714,736,637,"""|""","""Joey""","""Krehbiel""",25.45,"""RHP""","""R""","""R""","""professional""","""ARI""","""|""",41.7,41.7,40.0,47.5,0.00,,,"""|""",160,40,,,,,47.5,47.5,,"""|""",0,,,,,"""|""",2684,"""74""","""185""","""|""",2018,,,"""|""",,,,,,,"""|""",,,,"""|""",,,"""12th rd 2011""","""Seminole HS (FL)""",,"""|""",,,,,"""|""","""ARI""",,,"""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",55,60,,50,,,,40,55,60,,50,,,,40,"""|""",,,,,,"""|""",,,,,,,,
729,715,737,594,"""|""","""Michael""","""Perez""",25.82,"""C""","""R""","""R""","""professional""","""ARI""","""|""",41.7,41.7,40.0,47.9,0.00,,,"""|""",160,40,,,,,40.7,48.6,,"""|""",0,,,,,"""|""",100,"""71""","""180""","""|""",2019,,,"""|""",,,,,,,"""|""",,,,"""|""",,,"""5th rd 2011""","""Colegio Vocacional Para Adultos (PR)""",,"""|""",,,,,"""|""","""ARI""",,,"""|""",0,0,0,0,"""|""",,,,"""|""",45,20,45,40,45,50,55,40,45,40,50,50,"""|""",,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,
730,716,738,638,"""|""","""Brad""","""Wieck""",26.63,"""LHP""","""L""","""L""","""professional""","""SDP""","""|""",41.7,41.7,40.0,47.5,0.00,,,"""|""",160,40,,,,,47.5,47.5,,"""|""",0,,,,,"""|""",1554,"""81""","""260""","""|""",2018,,,"""|""",,,,,,,"""|""",,,,"""|""",,,"""7th rd 2014""","""Oklahoma City""",,"""|""",,,,,"""|""","""SDP""",,,"""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",65,,60,40,,,,40,65,,60,40,,,,40,"""|""",,,,,,"""|""",,,,,,,,
731,717,739,680,"""|""","""Kyle""","""Finnegan""",26.74,"""RHP""","""R""","""R""","""professional""","""OAK""","""|""",41.7,41.7,40.0,47.4,0.00,,,"""|""",160,40,,,,,46.7,47.5,,"""|""",0,,,,,"""|""",2674,"""74""","""175""","""|""",2018,,,"""|""",,,,,,,"""|""",,,,"""|""",,,"""6th rd 2013""","""Texas State""",,"""|""",,,,,"""|""","""OAK""",,,"""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",60,50,,50,,,,40,60,55,,50,,,,40,"""|""",,,,,,"""|""",,,,,,,,
732,718,740,617,"""|""","""Kyle""","""Higashioka""",28.11,"""C""","""R""","""R""","""professional""","""NYY""","""|""",41.7,41.7,40.0,47.6,0.00,,,"""|""",160,40,,,,,44.3,47.9,,"""|""",0,,,,,"""|""",2645,"""73""","""200""","""|""",2018,,,"""|""",,,,,"""http://www.youtube.com/embed/r2_yT76PrOg?autoplay=1""",,"""|""","""SD""",3.667,"""V""","""|""",,,"""7th rd 2008""","""Edison HS (CA)""",,"""|""",,,,,"""|""","""NYY""",,,"""|""",0,0,0,0,"""|""",,,,"""|""",45,45,55,30,45,40,50,50,55,30,50,40,"""|""",,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,
736,725,491,827,"""|""","""Michael""","""Gettys""",22.61,"""OF""","""R""","""R""","""professional""","""SD""","""|""",41.6,41.6,41.2,46.1,0.00,,,"""|""",206,,"""C+/B-""",45,,,,,46.1,"""|""",,,,,,"""|""",819,"""73""","""203""","""|""",,"""late 2019""",2019,"""|""","""Age 22, second round pick in 2014 from high school in Georgia, hit .254/.329/.431 in High-A with 17 homers, 22 steals, 46 walks, 191 strikeouts in 457 at-bats; sort of the Jason Nix of hitters with results not consistently matching perceived talent, shows excellent tools including power, speed, and throwing arm but results spotty, looks like a world-beater at his best but streaky and prone to slumps, contact problems; destroys left-handed pitching. ETA late 2019.""","""Scouting grades: Hit: 40 | Power: 50 | Run: 60 | Arm: 70 | Field: 60 | Overall: 45  Concerns about Gettys' hitting ability caused him to fall into the second round of the 2014 Draft, where the Padres signed him for $1.3 million as the 51st overall pick. The North Georgia native struggled with the move to full-season ball in 2015, hitting just .231 with a Midwest League-leading 162 strikeouts at Class A Fort Wayne. Gettys fared much better in his return to Fort Wayne in 2016, however, earning mid-season All-Star honors in the Midwest League before advancing to Class A Advanced Lake Elsinore in late June and finishing in the Arizona Fall League. Returning to the California League in 2017, Gettys continued to show loud tools but regressed overall as he finished as the circuit leader in both strikeouts (191) and strikeout rate (37.2 percent).  Gettys' swing is explosive and produces plus raw power that he can apply in games -- he hit a career-best 17 home runs in 2017 -- despite holes in his bat path and overall approach. He continues to strike out at a disconcerting rate, a product of his subpar pitch recognition and strike-zone management, and thus faces questions about the future utility of his hit tool. Plus speed allows Gettys to impact games on the basepaths as well as in center field, where he's a plus defender, with range for days and a cannon arm.  With raw power, speed, arm strength and defensive ability that all grade as average or better, Gettys has an undeniably impressive ceiling. The jury is still out on whether he can make the necessary swing adjustments to become an everyday player, but his speed, center-field defense and strong track record against left-handed pitching could still make him a valuable fourth outfielder.""",,,,,"""|""","""TAM""",0.500,"""XXX""","""|""",,,,,,"""|""",,,,,"""|""",,"""sd""","""SD""","""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",,,,,,,,,,,,,,,,,"""|""",40,50,60,70,60,"""|""",,,,,,,,
737,726,492,874,"""|""","""Grayson""","""Long""",24.01,"""RHP""","""R""","""R""","""professional""","""DET""","""|""",41.6,41.6,41.2,45.8,0.00,,,"""|""",206,,"""C+/B-""",45,,,,,45.8,"""|""",,,,,,"""|""",1056,"""77""","""230""","""|""",,"""2019""",2018,"""|""","""Age 23, drafted by Los Angeles Angels in third round in 2015 from Texas A&M, traded to Detroit in Justin Upton deal; posted 3.01 ERA in 138 innings between High-A and Double-A, 128/43 K/BB, 122 hits; physical right-hander at 6-5, 230; fastball generally average at 89-92, also has average slider and change-up, succeeds in minors due to sharp location and savvy; potential number four starter although if he moves to bullpen his stuff could tick up, making him more dominant on a per-inning basis; ETA 2019.""","""Scouting grades: Fastball: 50 | Slider: 55 | Changeup: 50 | Control: 50 | Overall: 45  Long had an up-and-down career at Texas A&M, but a strong junior season led to him landing with the Angels in the third round of the 2015 Draft. Injuries hampered him in 2016, but he broke out the following season, leading the Double-A Southern League in ERA before being dealt to the Tigers in the Justin Upton trade in August.  Long won't wow with pure stuff, but looks the part of a strong and durable innings-eater, one who put injury questions behind him by making 27 starts and throwing 137 2/3 innings a year ago. His fastball typically sits around 90-91 mph, though he can reach back for more when needed and it plays better than average because it has good life and he commands it fairly well. His slider will flash above-average and he has shown good feel for a Major League-average changeup. While he doesn't have a true out pitch, he did miss a fair amount of bats and stays around the strike zone.  The Tigers only got Long for one start post-trade, so they'll get a good look at him for the first time in 2018. He'll be doing so at the highest level of the Minors while waiting for his first opportunity for a callup, with the ceiling of a back-end big league starter.""",,,,,"""|""",,,,"""|""",,,,,,"""|""",,,,,"""|""",,"""det""","""DET""","""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",50,50,,55,,,,50
739,728,745,722,"""|""","""Tzu-Wei""","""Lin""",24.29,"""UTIL""","""L""","""R""","""professional""","""BOS""","""|""",41.6,41.6,40.0,46.9,0.00,,,"""|""",280,40,"""C+""",,,,45.0,47.1,,"""|""",0,,,,,"""|""",2251,"""69""","""155""","""|""",2018,"""2018""",,"""|""","""Age 23, signed out of Taiwan in 2012; hit .267/.335/.410 with 31 walks, 55 strikeouts in 300 at-bats in Double-A/Triple-A, then hit .268/.369/.339 in 56 major league at-bats; being groomed as utility player, capable at second, third, short, and the outfield; decent approach at the plate and can surprise you with gap power, could have long career as a role player. ETA 2018.""",,,,,,"""|""","""MIN""",0.500,"""XXX""","""|""",,,"""J2 2011""","""Taiwan""",,"""|""",,,,,"""|""","""BOS""","""bos""",,"""|""",0,0,0,0,"""|""",,,,"""|""",50,30,40,50,45,50,50,40,40,50,50,50,"""|""",,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,
743,732,749,531,"""|""","""Oswaldo""","""Cabrera""",19.25,"""2B""","""S""","""R""","""professional""","""NYY""","""|""",41.6,41.6,40.0,48.4,0.00,,,"""|""",160,40,,,,,30.7,50.0,,"""|""",0,,,,,"""|""",2667,"""70""","""145""","""|""",2021,,,"""|""",,,,,,,"""|""",,,,"""|""",,,"""J2 2015""","""Venezuela""",,"""|""",,,,,"""|""","""NYY""",,,"""|""",0,0,0,0,"""|""",,,,"""|""",20,20,40,50,45,50,55,40,45,50,50,50,"""|""",,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,
744,733,750,524,"""|""","""Jean""","""Carlos Encarnacion""",20.37,"""3B""","""R""","""R""","""professional""","""ATL""","""|""",41.6,41.6,40.0,48.5,0.00,,,"""|""",160,40,,,,,32.1,50.0,,"""|""",0,,,,,"""|""",2692,"""75""","""195""","""|""",2021,,,"""|""",,,,,,,"""|""",,,,"""|""",,,"""J2 2015""","""Dominican Republic""",,"""|""",,,,,"""|""","""ATL""",,,"""|""",0,0,0,0,"""|""",,,,"""|""",20,20,50,50,45,55,50,45,55,50,50,55,"""|""",,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,
745,734,751,713,"""|""","""Reymin""","""Guduan""",26.21,"""LHP""","""L""","""L""","""professional""","""HOU""","""|""",41.6,41.6,40.0,47.0,0.00,,,"""|""",160,40,,,,,47.0,47.0,,"""|""",0,,,,,"""|""",1243,"""76""","""205""","""|""",2018,,,"""|""",,,,,,,"""|""",,,,"""|""",,,"""J2 2009""","""Dominican Republic""",,"""|""",,,,,"""|""","""HOU""",,,"""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",60,,,55,,,,40,60,,,55,,,,40,"""|""",,,,,,"""|""",,,,,,,,
748,792,754,382,"""|""","""George""","""Valera""",17.55,"""LF""","""L""","""L""","""professional""","""CLE""","""|""",41.6,40.9,40.0,49.6,0.75,,,"""|""",360,40,"""C+""",45,,,,,49.6,"""|""",0,,,,,"""|""",1959,"""70""","""160""","""|""",2023,"""2023""",2021,"""|""","""Age 17, signed out of Dominican Republic in July 2017 for $1,300,000; hasnt played yet so tough to rank until we see his skills play against pro competition but scouting reports are uniformly glowing, focused on excellent offensive potential from the left side with chance to hit for both power and average. ETA 2023.""","""Scouting Grades: Hit: 55 | Power: 50 | Run: 50 | Arm: 55 | Field: 50 | Overall: 45  Valera was born in New York and spent his first 13 years there before moving with his family to the Dominican Republic. He was revered by scouts as one of the premier hitters in the 2017-18 international class, a distinction which earned him the No. 21 spot on MLB Pipeline's list of the Top 30 international prospects. Impressed by Valera's across-the-board tools and high ceiling at the plate, the Indians made him a key part of their international class, signing Valera for $1.3 million on July 2.  Athletic and wiry, Valera has a smooth and loose left-handed swing with some whip and leverage that enables him to generate backspin. He makes hard contact, showing barrel awareness and driving the ball to all fields, and scouts like his advanced approach in the batter's box and overall plate discipline.  Those qualities give Valera a chance at becoming an above-average hitter with at least average game power, which he already shows as a teenager.   Valera is an average runner with an above-average arm. He takes good routes and has solid defensive actions in the outfield, profiling best in either right or left field. Valera may be years away from making impact, but he has the necessary tools, skills and intangibles to do so.""",,,,,"""|""",,,,"""|""",,,"""J2 2017""","""Dominican Republic""","""July 2, 2017 - CLE""","""|""",,,,,"""|""","""CLE""","""cle""","""CLE""","""|""",1,0,1,1,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",,,,,,,,,,,,,,,,,"""|""",55,50,50,55,50,"""|""",,,,,,,,
749,809,755,440,"""|""","""Drew""","""Strotman""",21.74,"""RHP""","""R""","""R""","""professional""","""TB""","""|""",41.6,40.8,40.0,49.2,0.75,,,"""|""",80,,,45,,,,,49.2,"""|""",,,,,,"""|""",2569,"""75""","""195""","""|""",,,2020,"""|""",,"""Scouting grades: Fastball: 60 | Slider: 55 | Changeup: 45 | Control: 55 | Overall: 45  Despite pitching to mixed results during his three years at St. Mary's, Strotman shot up teams' Draft boards in the spring of 2017 following a move from the bullpen to the rotation. Targeting his upside in the latter role, the Rays selected him in the fourth round in June and signed him for $367,500. The right-hander's pro debut only validated Tampa Bay's scouting efforts, as Strotman posted a 1.79 ERA and a 0.75 WHIP while holding hitters to a .168 average over 51 innings in the Class A Short Season New York-Penn League.   Strotman combines size and athleticism with a lightning-quick arm to generate a plus fastball that bumps 97-98 mph and sits at 93-95. His slider can be inconsistent but has the makings of at least an above-average pitch, while further strides in developing his changeup could give Strotman a third Major League-average offering at maturity. Meanwhile, Strotman's three-pitch mix plays up thanks to his advanced control and command and because he's adept at pitching down in the zone.   Many expect Strotman, with his electric arm and promising arsenal, to serve as a valuable bullpen piece once he's fully developed. The Rays, however, will continue to deploy him as a starter, with the goal of offering him as many innings as possible so as to further his development.""",,,,,"""|""",,,,"""|""",,,,,,"""|""",,,,,"""|""",,,"""TB""","""|""",0,1,1,1,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",60,45,,55,,,,55
751,738,487,1086,"""|""","""Slade""","""Cecconi""",18.94,"""RHP""","""R""","""R""","""draft""","""Trinity (Fla.) Prep""","""|""",41.5,41.5,41.3,43.6,0.00,,,"""|""",165,,,,40,50,,,43.6,"""|""",,,0,98,63,"""|""",2438,"""76""","""193""","""|""",,,,"""|""",,,,"""Scouting grades: Fastball: 65 | Slider: 50 | Curveball: 45 | Changeup: 45 | Control: 45 | Overall: 50    Cecconi's summer started with a bang as he lit up radar guns at the Perfect Game National Showcase. He kept it up with a strong showing at USA Baseball's Tournament of Stars and made the 18U National Team's trial roster, though he did not make the final cut. And that was it, leaving scouts wishing they had seen more of the right-hander on the showcase circuit.    Scouts had to wait even longer this spring to see the projectable high schooler at Trinity Prep outside of Orlando, as a triceps issue kept him off the mound until late April. He was up to 96-97 mph in those summer outings, and sat in the mid 90s without too much effort, though he wasn't close to that when he first returned to action this spring. He has the prototypical projectable build at 6-foot-4 with room to add strength. Cecconi throws two breaking balls, with scouts preferring his low-80s tight slider to his slow curveball, though he does show the ability to spin that as well. He has some feel for a changeup and stays in the strike zone fairly well with a quick arm and balanced delivery.    Cecconi's summer definitely whetted scouts' appetites, though there was some concern over why he didn't participate in more events. There are still unanswered questions, the toughest one being what it will take to sign him away from his commitment to the University of Miami.""",,,"""|""",,,,"""|""",,,,,,"""|""","""Trinty Prep HS FL""","""Miami""","""Trinity (Fla.) Prep""","""Senior""","""|""",,,,"""|""",0,0,0,0,"""|""","""""","""""","""""","""|""",,,,,,,,,,,,,"""|""",,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",65,45,45,50,,,,45
754,741,759,723,"""|""","""Orlando""","""Romero""",21.68,"""RHP""","""R""","""R""","""professional""","""TBR""","""|""",41.5,41.5,40.0,46.9,0.00,,,"""|""",160,40,,,,,40.8,47.5,,"""|""",0,,,,,"""|""",2678,"""72""","""211""","""|""",2022,,,"""|""",,,,,,,"""|""",,,,"""|""",,,"""J2 2013""","""Venezuela""",,"""|""",,,,,"""|""","""TBR""",,,"""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",60,40,55,,,,,30,60,45,60,,,,,40,"""|""",,,,,,"""|""",,,,,,,,
759,750,488,1156,"""|""","""Seth""","""Beer""",21.70,"""DH""","""L""","""R""","""draft""","""HOU""","""|""",41.4,41.4,41.3,42.5,0.00,,,"""|""",165,,,,40,50,,,42.5,"""|""",,,0,64,45,"""|""",2423,"""75""","""195""","""|""",,,,"""|""",,,,"""Scouting grades: Hit: 50 | Power: 55 | Run: 20 | Arm: 45 | Field: 35 | Overall: 50  Beer graduated a semester early from high school and bypassed the Draft to enroll at Clemson, where he was the consensus freshman of the year and won the Dick Howser Award as the college player of the year in 2016. He almost immediately thrust himself into the discussion for the No. 1 overall pick in the 2018 Draft, but as that event approaches he's the most polarizing prospect in the class. Some teams believe in his lofty offensive ceiling and see him as a sure first-rounder, while other clubs question his ability to hit with wood and play a position.  His proponents point to Beer's production with the Tigers: .333/.506/.651 with 34 homers and more than twice as many walks (126) as strikeouts (62) in his first two years, with similar numbers in his third. Few college players can match his combination of strength and patience at the plate. For those sold that his left-handed power will play at the next level, it can be a carrying tool.  Beer's detractors don't like his less-than-smooth stroke and his wood-bat history, which includes some struggles on the high school showcase circuit and a .208/.344/.287 line in two years with Team USA. All of his value lies in his bat because he's a bottom-of-the-scale runner whose position options are first base and DH. He played mostly outfield in his first two college seasons but his lack of range and fringy arm made him a liability there.""",,"""http://www.youtube.com/embed/QgU3Pu8OJ4A?autoplay=1""","""|""",,,,"""|""","""HOU""",28,,,,"""|""","""Clemson""","""""","""Clemson""","""Junior""","""|""",,,,"""|""",0,0,0,0,"""|""","""--""","""""","""""","""|""",,,,,,,,,,,,,"""|""",,,,,,,,,,,,,,,,,"""|""",50,55,20,45,35,"""|""",,,,,,,,
760,751,493,1087,"""|""","""Brett""","""Adcock""",22.76,"""LHP""","""L""","""L""","""professional""","""HOU""","""|""",41.4,41.4,41.2,43.6,0.00,,,"""|""",206,,"""C+/B-""",45,,,,,43.6,"""|""",,,,,,"""|""",2072,"""73""","""225""","""|""",,"""2020""",2020,"""|""","""Age 22, fourth round pick in 2016 from the University of Michigan; posted 3.93 ERA with 117/39 K/BB in 108 innings between Low-A and High-A, 93 hits; throws hard for a lefty up to 94 MPH, mixing in impressive curveball and erratic change-up; needs more work with his command but has made progress after struggling to throw strikes in college; if that comes around further he could be a number four starter with a slight chance for more. ETA 2020.""","""Scouting grades: Fastball: 50 | Curveball: 55 | Slider: 55 | Changeup: 45 | Control: 45 | Overall: 45  Adcock parlayed three successful years at Michigan into getting drafted in 2016's fourth round, but he didn't make a very positive first or second impression on the Astros. He made just three starts in his pro debut before tearing the meniscus in his knee while fielding a bunt, then arrived at his first Spring Training well over his desired weight. He still made quick work of low Class A, earning a promotion a month into his first full season.  Adcock has averaged more than a strikeout per inning in college and pro ball thanks mainly to his breaking pitches. He uses a big-breaking curveball in the mid-70s against left-handers and a sweeping slider in the low-80s, getting lots of swings and misses with both. He sets them up with a low-90s fastball that peaks at 94 mph and features some riding life.  After averaging 7.1 walks per nine innings as a Wolverines junior, Adcock has improved his control as a pro by doing a better job of staying online to the plate. He'll need to further refine his control, command and changeup to make it as a No.4 starter. More likely, he'll move to the bullpen and rely even more heavily on his curveball and slider.""",,,,,"""|""",,,,"""|""",,,,,,"""|""",,,,,"""|""",,"""hou""","""HOU""","""|""",0,0,0,0,"""|""",,,,"""|""",,,,,,,,,,,,,"""|""",,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",50,45,55,55,,,,45
