player_name,PitchingLine,role,spWAR,rpWAR,ovr,adj,T,stam,#pit,gb%,FIP-,vsR_FIP-,vsL_FIP-,team_abb
A.J. Blubaugh,"SP, 43 ovr / 20 adj (47 stam, 3 pit) 44 GB% | 191 vsR | 184 vsL | 189 FIP-",SP,-3.6,-1.6,43.0,20,R,47.0,3,44.0,189.0,191.0,184.0,LAD
Christian Scott,"SP, 48 ovr / 34 adj (42 stam, 3 pit) 47 GB% | 132 vsR | 141 vsL | 134 FIP-",SP,0.0,-0.4,48.0,34,R,42.0,3,47.0,134.0,132.0,141.0,PHI
Christian Zazueta,"SP, 35 ovr / 20 adj (52 stam, 1 pit) 44 GB% | 249 vsR | 271 vsL | 258 FIP-",SP,-7.4,-2.9,35.0,20,R,52.0,1,44.0,258.0,249.0,271.0,BAL
Cionel Perez,"RP, 39 ovr / 42 adj (13 stam, 2 pit) 62 GB% | 104 vsR | 91 vsL | 98 FIP-",RP,0.0,0.6,39.0,42,L,13.0,2,62.0,98.0,104.0,91.0,
Clarke Schmidt,"SP, 52 ovr / 39 adj (48 stam, 4 pit) 46 GB% | 126 vsR | 126 vsL | 127 FIP-",SP,0.6,-0.2,52.0,39,R,48.0,4,46.0,127.0,126.0,126.0,CHC
Clay Holmes,"SP, 53 ovr / 70 adj (61 stam, 2 pit) 71 GB% | 67 vsR | 83 vsL | 74 FIP-",SP,5.0,1.3,53.0,70,R,61.0,2,71.0,74.0,67.0,83.0,MIA
Clayton Beeter,"RP, 46 ovr / 43 adj (22 stam, 3 pit) 48 GB% | 92 vsR | 100 vsL | 95 FIP-",RP,0.0,0.6,46.0,43,R,22.0,3,48.0,95.0,92.0,100.0,SEA
Cobb Hightower,"RP, 29 ovr / 20 adj (24 stam, 0 pit) 31 GB% | 403 vsR | 404 vsL | 404 FIP-",RP,0.0,-4.8,29.0,20,R,24.0,0,31.0,404.0,403.0,404.0,KC
Codi Heuer,"RP, 41 ovr / 29 adj (17 stam, 3 pit) 70 GB% | 121 vsR | 143 vsL | 132 FIP-",RP,0.0,-0.3,41.0,29,R,17.0,3,70.0,132.0,121.0,143.0,
Cody Bolton,"RP, 37 ovr / 20 adj (18 stam, 0 pit) 48 GB% | 178 vsR | 217 vsL | 193 FIP-",RP,0.0,-1.7,37.0,20,R,18.0,0,48.0,193.0,178.0,217.0,
Cody Bradford,"RP, 52 ovr / 32 adj (46 stam, 2 pit) 42 GB% | 119 vsR | 145 vsL | 126 FIP-",RP,0.0,-0.2,52.0,32,L,46.0,2,42.0,126.0,119.0,145.0,NYM
Cody Laweryson,"RP, 39 ovr / 20 adj (24 stam, 2 pit) 41 GB% | 164 vsR | 156 vsL | 160 FIP-",RP,0.0,-1.0,39.0,20,R,24.0,2,41.0,160.0,164.0,156.0,
Cody Ponce,"SP, 44 ovr / 21 adj (62 stam, 4 pit) 53 GB% | 152 vsR | 160 vsL | 157 FIP-",SP,-1.6,-0.9,44.0,21,R,62.0,4,53.0,157.0,152.0,160.0,TOR
Cody Poteet,"RP, 46 ovr / 24 adj (35 stam, 1 pit) 47 GB% | 138 vsR | 160 vsL | 148 FIP-",RP,0.0,-0.7,46.0,24,R,35.0,1,47.0,148.0,138.0,160.0,MIN
Colby Martin,"RP, 35 ovr / 20 adj (19 stam, 2 pit) 51 GB% | 168 vsR | 199 vsL | 184 FIP-",RP,0.0,-1.5,35.0,20,R,19.0,2,51.0,184.0,168.0,199.0,
Cole Carrigg,"RP, 42 ovr / 20 adj (14 stam, 0 pit) 48 GB% | 390 vsR | 389 vsL | 390 FIP-",RP,0.0,-4.7,42.0,20,R,14.0,0,48.0,390.0,390.0,389.0,LAD
Cole Henry,"SP, 41 ovr / 22 adj (60 stam, 4 pit) 52 GB% | 157 vsR | 151 vsL | 154 FIP-",SP,-1.4,-0.9,41.0,22,R,60.0,4,52.0,154.0,157.0,151.0,TEX
Cole Irvin,"SP, 40 ovr / 20 adj (62 stam, 0 pit) 45 GB% | 187 vsR | 190 vsL | 189 FIP-",SP,-3.7,-1.6,40.0,20,L,62.0,0,45.0,189.0,187.0,190.0,
Cole Mathis,"SP, 35 ovr / 20 adj (58 stam, 0 pit) 52 GB% | 241 vsR | 241 vsL | 241 FIP-",SP,-6.6,-2.6,35.0,20,R,58.0,0,52.0,241.0,241.0,241.0,STL
Cole Miller,"SP, 33 ovr / 20 adj (63 stam, 0 pit) 51 GB% | 258 vsR | 276 vsL | 263 FIP-",SP,-7.7,-3.0,33.0,20,R,63.0,0,51.0,263.0,258.0,276.0,TOR
Cole Phillips Jr.,"RP, 32 ovr / 20 adj (42 stam, 0 pit) 45 GB% | 261 vsR | 288 vsL | 274 FIP-",RP,0.0,-3.1,32.0,20,R,42.0,0,45.0,274.0,261.0,288.0,SD
Cole Ragans,"SP, 69 ovr / 70 adj (70 stam, 5 pit) 43 GB% | 64 vsR | 97 vsL | 73 FIP-",SP,5.1,1.3,69.0,70,L,70.0,5,43.0,73.0,64.0,97.0,HOU
Cole Sands,"RP, 49 ovr / 42 adj (22 stam, 2 pit) 42 GB% | 95 vsR | 105 vsL | 98 FIP-",RP,0.0,0.6,49.0,42,R,22.0,2,42.0,98.0,95.0,105.0,SF
Cole Schoenwetter,"SP, 31 ovr / 20 adj (59 stam, 0 pit) 49 GB% | 297 vsR | 308 vsL | 302 FIP-",SP,-9.4,-3.5,31.0,20,R,59.0,0,49.0,302.0,297.0,308.0,TOR
Cole Sulser,"RP, 41 ovr / 22 adj (18 stam, 1 pit) 46 GB% | 142 vsR | 172 vsL | 154 FIP-",RP,0.0,-0.9,41.0,22,R,18.0,1,46.0,154.0,142.0,172.0,
Cole Waites,"RP, 38 ovr / 20 adj (23 stam, 1 pit) 43 GB% | 163 vsR | 201 vsL | 180 FIP-",RP,0.0,-1.4,38.0,20,R,23.0,1,43.0,180.0,163.0,201.0,
Cole Wilcox,"RP, 43 ovr / 20 adj (35 stam, 0 pit) 51 GB% | 146 vsR | 195 vsL | 165 FIP-",RP,0.0,-1.1,43.0,20,R,35.0,0,51.0,165.0,146.0,195.0,BAL
Cole Winn,"RP, 46 ovr / 33 adj (19 stam, 3 pit) 41 GB% | 127 vsR | 119 vsL | 123 FIP-",RP,0.0,-0.1,46.0,33,R,19.0,3,41.0,123.0,127.0,119.0,
Coleman Crow,"SP, 40 ovr / 20 adj (56 stam, 3 pit) 54 GB% | 143 vsR | 180 vsL | 163 FIP-",SP,-2.0,-1.1,40.0,20,R,56.0,3,54.0,163.0,143.0,180.0,
Colin Holderman,"RP, 42 ovr / 33 adj (14 stam, 2 pit) 43 GB% | 104 vsR | 139 vsL | 123 FIP-",RP,0.0,-0.1,42.0,33,R,14.0,2,43.0,123.0,104.0,139.0,TEX
Colin Poche,"RP, 42 ovr / 20 adj (13 stam, 2 pit) 42 GB% | 185 vsR | 123 vsL | 165 FIP-",RP,0.0,-1.1,42.0,20,L,13.0,2,42.0,165.0,185.0,123.0,
Colin Rea,"SP, 44 ovr / 25 adj (64 stam, 0 pit) 44 GB% | 142 vsR | 160 vsL | 149 FIP-",SP,-1.1,-0.8,44.0,25,R,64.0,0,44.0,149.0,142.0,160.0,
Colin Selby,"RP, 39 ovr / 25 adj (17 stam, 4 pit) 55 GB% | 119 vsR | 171 vsL | 144 FIP-",RP,0.0,-0.6,39.0,25,R,17.0,4,55.0,144.0,119.0,171.0,
Colin Yeaman,"RP, 32 ovr / 20 adj (47 stam, 0 pit) 40 GB% | 403 vsR | 404 vsL | 403 FIP-",RP,0.0,-4.8,32.0,20,R,47.0,0,40.0,403.0,403.0,404.0,MIA
Collin Snider,"RP, 38 ovr / 20 adj (16 stam, 1 pit) 45 GB% | 171 vsR | 184 vsL | 178 FIP-",RP,0.0,-1.4,38.0,20,R,16.0,1,45.0,178.0,171.0,184.0,PHI
Colt Keith,"SP, 51 ovr / 20 adj (52 stam, 0 pit) 48 GB% | 350 vsR | 349 vsL | 350 FIP-",SP,-11.4,-4.2,51.0,20,R,52.0,0,48.0,350.0,350.0,349.0,NYM
Colton Gordon,"RP, 40 ovr / 20 adj (47 stam, 1 pit) 44 GB% | 176 vsR | 160 vsL | 173 FIP-",RP,0.0,-1.3,40.0,20,L,47.0,1,44.0,173.0,176.0,160.0,
Connelly Early,"SP, 48 ovr / 41 adj (58 stam, 4 pit) 58 GB% | 125 vsR | 132 vsL | 125 FIP-",SP,0.7,-0.2,48.0,41,L,58.0,4,58.0,125.0,125.0,132.0,CHW
Connor Brogdon,"RP, 37 ovr / 20 adj (16 stam, 3 pit) 42 GB% | 170 vsR | 203 vsL | 186 FIP-",RP,0.0,-1.5,37.0,20,R,16.0,3,42.0,186.0,170.0,203.0,
Connor Cooke,"RP, 37 ovr / 20 adj (18 stam, 2 pit) 41 GB% | 190 vsR | 210 vsL | 198 FIP-",RP,0.0,-1.8,37.0,20,R,18.0,2,41.0,198.0,190.0,210.0,
Connor Noland,"RP, 39 ovr / 20 adj (45 stam, 0 pit) 55 GB% | 172 vsR | 191 vsL | 181 FIP-",RP,0.0,-1.5,39.0,20,R,45.0,0,55.0,181.0,172.0,191.0,
Connor Norby,"RP, 46 ovr / 20 adj (19 stam, 0 pit) 45 GB% | 395 vsR | 399 vsL | 397 FIP-",RP,0.0,-4.8,46.0,20,R,19.0,0,45.0,397.0,395.0,399.0,LAD
Connor Phillips,"RP, 40 ovr / 25 adj (23 stam, 3 pit) 44 GB% | 146 vsR | 144 vsL | 146 FIP-",RP,0.0,-0.7,40.0,25,R,23.0,3,44.0,146.0,146.0,144.0,PIT
Connor Prielipp,"SP, 45 ovr / 44 adj (48 stam, 3 pit) 47 GB% | 126 vsR | 101 vsL | 119 FIP-",SP,1.1,0.0,45.0,44,L,48.0,3,47.0,119.0,126.0,101.0,SD
Connor Seabold,"SP, 39 ovr / 20 adj (58 stam, 1 pit) 46 GB% | 181 vsR | 191 vsL | 187 FIP-",SP,-3.5,-1.6,39.0,20,R,58.0,1,46.0,187.0,181.0,191.0,
Connor Thomas,"RP, 39 ovr / 20 adj (38 stam, 0 pit) 60 GB% | 177 vsR | 137 vsL | 168 FIP-",RP,0.0,-1.2,39.0,20,L,38.0,0,60.0,168.0,177.0,137.0,
Conor Essenburg,"RP, 27 ovr / 20 adj (49 stam, 0 pit) 46 GB% | 369 vsR | 372 vsL | 369 FIP-",RP,0.0,-4.4,27.0,20,L,49.0,0,46.0,369.0,369.0,372.0,MIL
Conor Grammes,"RP, 34 ovr / 20 adj (19 stam, 2 pit) 64 GB% | 173 vsR | 208 vsL | 191 FIP-",RP,0.0,-1.7,34.0,20,R,19.0,2,64.0,191.0,173.0,208.0,
Conrad Cason,"RP, 29 ovr / 20 adj (42 stam, 0 pit) 46 GB% | 308 vsR | 314 vsL | 311 FIP-",RP,0.0,-3.7,29.0,20,R,42.0,0,46.0,311.0,308.0,314.0,MIA
Cooper Criswell,"SP, 43 ovr / 33 adj (52 stam, 1 pit) 55 GB% | 105 vsR | 174 vsL | 137 FIP-",SP,-0.2,-0.5,43.0,33,R,52.0,1,55.0,137.0,105.0,174.0,
Cooper Hjerpe,"SP, 42 ovr / 20 adj (57 stam, 2 pit) 49 GB% | 197 vsR | 170 vsL | 193 FIP-",SP,-3.9,-1.7,42.0,20,L,57.0,2,49.0,193.0,197.0,170.0,DET
Corbin Burnes,"SP, 66 ovr / 65 adj (76 stam, 4 pit) 54 GB% | 81 vsR | 91 vsL | 85 FIP-",SP,4.0,0.9,66.0,65,R,76.0,4,54.0,85.0,81.0,91.0,TOR
Corbin Martin,"SP, 40 ovr / 20 adj (34 stam, 3 pit) 50 GB% | 160 vsR | 201 vsL | 182 FIP-",SP,-3.2,-1.5,40.0,20,R,34.0,3,50.0,182.0,160.0,201.0,
Corey Avant,"SP, 39 ovr / 20 adj (55 stam, 1 pit) 54 GB% | 197 vsR | 205 vsL | 200 FIP-",SP,-4.3,-1.8,39.0,20,R,55.0,1,54.0,200.0,197.0,205.0,
Cory Abbott,"SP, 44 ovr / 20 adj (40 stam, 3 pit) 44 GB% | 163 vsR | 182 vsL | 172 FIP-",SP,-2.6,-1.3,44.0,20,R,40.0,3,44.0,172.0,163.0,182.0,
Coy James,"RP, 28 ovr / 20 adj (48 stam, 0 pit) 46 GB% | 395 vsR | 395 vsL | 395 FIP-",RP,0.0,-4.7,28.0,20,R,48.0,0,46.0,395.0,395.0,395.0,TEX
Craig Kimbrel,"RP, 50 ovr / 47 adj (14 stam, 3 pit) 38 GB% | 85 vsR | 90 vsL | 87 FIP-",RP,0.0,0.9,50.0,47,R,14.0,3,38.0,87.0,85.0,90.0,CIN
Craig Yoho,"RP, 41 ovr / 30 adj (18 stam, 3 pit) 62 GB% | 125 vsR | 145 vsL | 132 FIP-",RP,0.0,-0.3,41.0,30,R,18.0,3,62.0,132.0,125.0,145.0,CHW
Cristian Javier,"SP, 52 ovr / 42 adj (57 stam, 4 pit) 44 GB% | 100 vsR | 156 vsL | 123 FIP-",SP,0.9,-0.1,52.0,42,R,57.0,4,44.0,123.0,100.0,156.0,PIT
Cristian Mena,"SP, 48 ovr / 33 adj (50 stam, 5 pit) 49 GB% | 122 vsR | 162 vsL | 137 FIP-",SP,-0.2,-0.5,48.0,33,R,50.0,5,49.0,137.0,122.0,162.0,TEX
Cristofer Melendez,"RP, 40 ovr / 28 adj (18 stam, 2 pit) 44 GB% | 119 vsR | 158 vsL | 135 FIP-",RP,0.0,-0.4,40.0,28,R,18.0,2,44.0,135.0,119.0,158.0,
Cristopher Sanchez,"SP, 63 ovr / 70 adj (69 stam, 3 pit) 62 GB% | 81 vsR | 53 vsL | 73 FIP-",SP,5.1,1.3,63.0,70,L,69.0,3,62.0,73.0,81.0,53.0,TB
Cutter Coffey,"RP, 35 ovr / 20 adj (22 stam, 0 pit) 50 GB% | 277 vsR | 316 vsL | 295 FIP-",RP,0.0,-3.4,35.0,20,R,22.0,0,50.0,295.0,277.0,316.0,SD
Cy Nielson,"RP, 36 ovr / 20 adj (20 stam, 1 pit) 45 GB% | 183 vsR | 174 vsL | 182 FIP-",RP,0.0,-1.5,36.0,20,L,20.0,1,45.0,182.0,183.0,174.0,
D.J. Snelten,"RP, 37 ovr / 20 adj (20 stam, 2 pit) 59 GB% | 179 vsR | 145 vsL | 171 FIP-",RP,0.0,-1.2,37.0,20,L,20.0,2,59.0,171.0,179.0,145.0,
Dahian Santos,"SP, 36 ovr / 20 adj (33 stam, 3 pit) 45 GB% | 192 vsR | 224 vsL | 206 FIP-",SP,-4.7,-2.0,36.0,20,R,33.0,3,45.0,206.0,192.0,224.0,TB
Daison Acosta,"RP, 37 ovr / 20 adj (19 stam, 2 pit) 46 GB% | 183 vsR | 197 vsL | 187 FIP-",RP,0.0,-1.6,37.0,20,R,19.0,2,46.0,187.0,183.0,197.0,
Dakota Hawkins,"RP, 38 ovr / 20 adj (42 stam, 0 pit) 48 GB% | 182 vsR | 198 vsL | 189 FIP-",RP,0.0,-1.6,38.0,20,R,42.0,0,48.0,189.0,182.0,198.0,
Dale Stanavich,"RP, 37 ovr / 20 adj (19 stam, 2 pit) 48 GB% | 195 vsR | 151 vsL | 181 FIP-",RP,0.0,-1.4,37.0,20,L,19.0,2,48.0,181.0,195.0,151.0,
Dallas Keuchel,"RP, 36 ovr / 20 adj (45 stam, 0 pit) 58 GB% | 222 vsR | 109 vsL | 193 FIP-",RP,0.0,-1.7,36.0,20,L,45.0,0,58.0,193.0,222.0,109.0,
Dalton Rogers,"RP, 38 ovr / 20 adj (44 stam, 2 pit) 49 GB% | 196 vsR | 175 vsL | 188 FIP-",RP,0.0,-1.6,38.0,20,L,44.0,2,49.0,188.0,196.0,175.0,
Dan Altavilla,"RP, 37 ovr / 20 adj (15 stam, 0 pit) 45 GB% | 172 vsR | 233 vsL | 199 FIP-",RP,0.0,-1.8,37.0,20,R,15.0,0,45.0,199.0,172.0,233.0,
Dane Dunning,"SP, 46 ovr / 39 adj (55 stam, 4 pit) 49 GB% | 116 vsR | 144 vsL | 127 FIP-",SP,0.5,-0.2,46.0,39,R,55.0,4,49.0,127.0,116.0,144.0,
Dane Myers,"SP, 42 ovr / 20 adj (56 stam, 0 pit) 45 GB% | 260 vsR | 278 vsL | 269 FIP-",SP,-7.9,-3.0,42.0,20,R,56.0,0,45.0,269.0,260.0,278.0,TEX
Daniel Duarte,"RP, 42 ovr / 22 adj (16 stam, 2 pit) 54 GB% | 146 vsR | 160 vsL | 153 FIP-",RP,0.0,-0.8,42.0,22,R,16.0,2,54.0,153.0,146.0,160.0,
Daniel Eagen,"SP, 41 ovr / 20 adj (61 stam, 3 pit) 50 GB% | 190 vsR | 199 vsL | 195 FIP-",SP,-4.0,-1.7,41.0,20,R,61.0,3,50.0,195.0,190.0,199.0,NYM
Daniel Espino,"SP, 44 ovr / 20 adj (37 stam, 4 pit) 50 GB% | 160 vsR | 173 vsL | 166 FIP-",SP,-2.2,-1.1,44.0,20,R,37.0,4,50.0,166.0,160.0,173.0,PIT
Daniel Lynch IV,"RP, 40 ovr / 20 adj (39 stam, 0 pit) 51 GB% | 168 vsR | 151 vsL | 164 FIP-",RP,0.0,-1.1,40.0,20,L,39.0,0,51.0,164.0,168.0,151.0,OAK
Daniel Palencia,"RP, 61 ovr / 46 adj (23 stam, 2 pit) 42 GB% | 91 vsR | 86 vsL | 88 FIP-",RP,0.0,0.8,61.0,46,R,23.0,2,42.0,88.0,91.0,86.0,DET
Daniel Pierce,"RP, 29 ovr / 20 adj (26 stam, 0 pit) 34 GB% | 404 vsR | 405 vsL | 405 FIP-",RP,0.0,-4.8,29.0,20,R,26.0,0,34.0,405.0,404.0,405.0,DET
Daniel Robert,"RP, 39 ovr / 20 adj (18 stam, 2 pit) 55 GB% | 154 vsR | 177 vsL | 169 FIP-",RP,0.0,-1.2,39.0,20,R,18.0,2,55.0,169.0,154.0,177.0,
Danny Coulombe,"RP, 52 ovr / 44 adj (14 stam, 2 pit) 54 GB% | 95 vsR | 89 vsL | 93 FIP-",RP,0.0,0.7,52.0,44,L,14.0,2,54.0,93.0,95.0,89.0,PHI
Danny Young,"RP, 41 ovr / 49 adj (14 stam, 2 pit) 59 GB% | 89 vsR | 62 vsL | 82 FIP-",RP,0.0,1.0,41.0,49,L,14.0,2,59.0,82.0,89.0,62.0,
Dante Nori,"RP, 37 ovr / 20 adj (12 stam, 0 pit) 33 GB% | 398 vsR | 396 vsL | 397 FIP-",RP,0.0,-4.8,37.0,20,L,12.0,0,33.0,397.0,398.0,396.0,WAS
Darius Vines,"RP, 37 ovr / 20 adj (49 stam, 0 pit) 45 GB% | 213 vsR | 249 vsL | 226 FIP-",RP,0.0,-2.3,37.0,20,R,49.0,0,45.0,226.0,213.0,249.0,ARI
Dasan Hill,"SP, 34 ovr / 20 adj (53 stam, 0 pit) 54 GB% | 251 vsR | 236 vsL | 248 FIP-",SP,-6.9,-2.7,34.0,20,L,53.0,0,54.0,248.0,251.0,236.0,DET
David Bednar,"RP, 65 ovr / 50 adj (15 stam, 3 pit) 43 GB% | 77 vsR | 86 vsL | 80 FIP-",RP,0.0,1.1,65.0,50,R,15.0,3,43.0,80.0,77.0,86.0,STL
David Davalillo,"SP, 44 ovr / 20 adj (57 stam, 1 pit) 51 GB% | 173 vsR | 189 vsL | 182 FIP-",SP,-3.2,-1.5,44.0,20,R,57.0,1,51.0,182.0,173.0,189.0,STL
David Festa,"SP, 48 ovr / 39 adj (37 stam, 4 pit) 46 GB% | 115 vsR | 141 vsL | 127 FIP-",SP,0.6,-0.2,48.0,39,R,37.0,4,46.0,127.0,115.0,141.0,ATL
David Hagaman,"RP, 38 ovr / 20 adj (49 stam, 2 pit) 47 GB% | 199 vsR | 216 vsL | 210 FIP-",RP,0.0,-2.0,38.0,20,R,49.0,2,47.0,210.0,199.0,216.0,MIL
David Matoma,"RP, 32 ovr / 20 adj (17 stam, 0 pit) 47 GB% | 254 vsR | 272 vsL | 263 FIP-",RP,0.0,-2.9,32.0,20,R,17.0,0,47.0,263.0,254.0,272.0,MIL
David Morgan,"RP, 45 ovr / 33 adj (22 stam, 4 pit) 46 GB% | 99 vsR | 152 vsL | 122 FIP-",RP,0.0,-0.1,45.0,33,R,22.0,4,46.0,122.0,99.0,152.0,
David Peterson,"RP, 48 ovr / 45 adj (49 stam, 2 pit) 56 GB% | 100 vsR | 66 vsL | 92 FIP-",RP,0.0,0.7,48.0,45,L,49.0,2,56.0,92.0,100.0,66.0,NYM
David Sandlin,"RP, 39 ovr / 20 adj (49 stam, 0 pit) 36 GB% | 207 vsR | 231 vsL | 216 FIP-",RP,0.0,-2.1,39.0,20,R,49.0,0,36.0,216.0,207.0,231.0,CHC
David Shields,"SP, 34 ovr / 20 adj (50 stam, 0 pit) 50 GB% | 251 vsR | 243 vsL | 248 FIP-",SP,-6.9,-2.7,34.0,20,L,50.0,0,50.0,248.0,251.0,243.0,TOR
Davis Daniel,"SP, 42 ovr / 20 adj (52 stam, 1 pit) 45 GB% | 186 vsR | 219 vsL | 202 FIP-",SP,-4.4,-1.9,42.0,20,R,52.0,1,45.0,202.0,186.0,219.0,SD
Davis Martin,"SP, 47 ovr / 23 adj (60 stam, 0 pit) 52 GB% | 139 vsR | 174 vsL | 153 FIP-",SP,-1.3,-0.8,47.0,23,R,60.0,0,52.0,153.0,139.0,174.0,
Davis Sharpe,"RP, 36 ovr / 20 adj (23 stam, 0 pit) 49 GB% | 200 vsR | 242 vsL | 218 FIP-",RP,0.0,-2.2,36.0,20,R,23.0,0,49.0,218.0,200.0,242.0,ARI
Dax Fulton,"SP, 41 ovr / 20 adj (60 stam, 0 pit) 67 GB% | 171 vsR | 159 vsL | 168 FIP-",SP,-2.3,-1.2,41.0,20,L,60.0,0,67.0,168.0,171.0,159.0,CIN
Dax Kilby,"RP, 29 ovr / 20 adj (13 stam, 0 pit) 30 GB% | 405 vsR | 406 vsL | 405 FIP-",RP,0.0,-4.8,29.0,20,R,13.0,0,30.0,405.0,405.0,406.0,SF
Daysbel Hernandez,"RP, 39 ovr / 29 adj (17 stam, 2 pit) 49 GB% | 129 vsR | 140 vsL | 133 FIP-",RP,0.0,-0.4,39.0,29,R,17.0,2,49.0,133.0,129.0,140.0,
Dean Kremer,"SP, 48 ovr / 31 adj (60 stam, 1 pit) 47 GB% | 158 vsR | 123 vsL | 139 FIP-",SP,-0.3,-0.5,48.0,31,R,60.0,1,47.0,139.0,158.0,123.0,SD
Declan Cronin,"RP, 38 ovr / 24 adj (18 stam, 2 pit) 64 GB% | 120 vsR | 170 vsL | 149 FIP-",RP,0.0,-0.8,38.0,24,R,18.0,2,64.0,149.0,120.0,170.0,
Dedniel Nunez,"RP, 43 ovr / 28 adj (19 stam, 2 pit) 51 GB% | 112 vsR | 166 vsL | 138 FIP-",RP,0.0,-0.5,43.0,28,R,19.0,2,51.0,138.0,112.0,166.0,SF
Deivi Garcia,"RP, 43 ovr / 20 adj (28 stam, 1 pit) 41 GB% | 157 vsR | 186 vsL | 172 FIP-",RP,0.0,-1.3,43.0,20,R,28.0,1,41.0,172.0,157.0,186.0,
Dennis Santana,"RP, 56 ovr / 49 adj (17 stam, 2 pit) 45 GB% | 82 vsR | 84 vsL | 82 FIP-",RP,0.0,1.0,56.0,49,R,17.0,2,45.0,82.0,82.0,84.0,STL
Derek Law,"RP, 40 ovr / 28 adj (17 stam, 1 pit) 54 GB% | 140 vsR | 131 vsL | 137 FIP-",RP,0.0,-0.5,40.0,28,R,17.0,1,54.0,137.0,140.0,131.0,
Devin Williams,"RP, 71 ovr / 60 adj (14 stam, 2 pit) 49 GB% | 49 vsR | 69 vsL | 58 FIP-",RP,0.0,1.8,71.0,60,R,14.0,2,49.0,58.0,49.0,69.0,NYM
Didier Fuentes,"SP, 46 ovr / 20 adj (54 stam, 3 pit) 49 GB% | 150 vsR | 171 vsL | 159 FIP-",SP,-1.7,-1.0,46.0,20,R,54.0,3,49.0,159.0,150.0,171.0,COL
Dietrich Enns,"SP, 55 ovr / 60 adj (66 stam, 4 pit) 55 GB% | 99 vsR | 91 vsL | 96 FIP-",SP,3.0,0.6,55.0,60,L,66.0,4,55.0,96.0,99.0,91.0,WAS
Dillon Tate,"RP, 39 ovr / 26 adj (16 stam, 1 pit) 57 GB% | 106 vsR | 184 vsL | 143 FIP-",RP,0.0,-0.6,39.0,26,R,16.0,1,57.0,143.0,106.0,184.0,PHI
Diomede Sierra,"RP, 35 ovr / 20 adj (37 stam, 2 pit) 57 GB% | 204 vsR | 117 vsL | 185 FIP-",RP,0.0,-1.5,35.0,20,L,37.0,2,57.0,185.0,204.0,117.0,
DJ Herz,"SP, 47 ovr / 46 adj (32 stam, 4 pit) 42 GB% | 110 vsR | 136 vsL | 116 FIP-",SP,1.4,0.1,47.0,46,L,32.0,4,42.0,116.0,110.0,136.0,WAS
DL Hall,"SP, 48 ovr / 53 adj (40 stam, 4 pit) 52 GB% | 109 vsR | 99 vsL | 107 FIP-",SP,2.1,0.3,48.0,53,L,40.0,4,52.0,107.0,109.0,99.0,KC
Dom Hamel,"RP, 43 ovr / 20 adj (43 stam, 2 pit) 41 GB% | 179 vsR | 185 vsL | 180 FIP-",RP,0.0,-1.4,43.0,20,R,43.0,2,41.0,180.0,179.0,185.0,
Domingo Gonzalez,"RP, 38 ovr / 20 adj (25 stam, 1 pit) 44 GB% | 163 vsR | 191 vsL | 173 FIP-",RP,0.0,-1.3,38.0,20,R,25.0,1,44.0,173.0,163.0,191.0,
Doug Nikhazy,"SP, 41 ovr / 20 adj (38 stam, 3 pit) 45 GB% | 187 vsR | 171 vsL | 181 FIP-",SP,-3.2,-1.5,41.0,20,L,38.0,3,45.0,181.0,187.0,171.0,MIN
Drew Anderson,"SP, 49 ovr / 38 adj (58 stam, 4 pit) 46 GB% | 132 vsR | 122 vsL | 129 FIP-",SP,0.4,-0.3,49.0,38,R,58.0,4,46.0,129.0,132.0,122.0,BAL
Drew Beam,"SP, 38 ovr / 20 adj (64 stam, 0 pit) 48 GB% | 221 vsR | 228 vsL | 225 FIP-",SP,-5.7,-2.3,38.0,20,R,64.0,0,48.0,225.0,221.0,228.0,SD
Drew Gilbert,"RP, 40 ovr / 20 adj (18 stam, 0 pit) 45 GB% | 374 vsR | 375 vsL | 375 FIP-",RP,0.0,-4.5,40.0,20,L,18.0,0,45.0,375.0,374.0,375.0,CIN
Drew Pomeranz,"RP, 45 ovr / 38 adj (15 stam, 2 pit) 48 GB% | 124 vsR | 83 vsL | 108 FIP-",RP,0.0,0.3,45.0,38,L,15.0,2,48.0,108.0,124.0,83.0,CHW
Drew Rasmussen,"SP, 64 ovr / 58 adj (52 stam, 2 pit) 55 GB% | 97 vsR | 108 vsL | 100 FIP-",SP,2.7,0.5,64.0,58,R,52.0,2,55.0,100.0,97.0,108.0,NYM
Drew Rom,"SP, 48 ovr / 34 adj (43 stam, 3 pit) 52 GB% | 140 vsR | 125 vsL | 136 FIP-",SP,-0.1,-0.4,48.0,34,L,43.0,3,52.0,136.0,140.0,125.0,MIA
Drew Smith,"RP, 40 ovr / 20 adj (15 stam, 3 pit) 37 GB% | 148 vsR | 185 vsL | 165 FIP-",RP,0.0,-1.1,40.0,20,R,15.0,3,37.0,165.0,148.0,185.0,
Drew Sommers,"RP, 40 ovr / 34 adj (17 stam, 1 pit) 65 GB% | 158 vsR | 81 vsL | 119 FIP-",RP,0.0,0.0,40.0,34,L,17.0,1,65.0,119.0,158.0,81.0,
Drew Thorpe,"RP, 45 ovr / 20 adj (47 stam, 2 pit) 49 GB% | 158 vsR | 168 vsL | 164 FIP-",RP,0.0,-1.1,45.0,20,R,47.0,2,49.0,164.0,158.0,168.0,BAL
